pkSiteId,commonName,siteNumber,latSeconds,longSeconds,dnrverified,projectAddress,altLocDesc,pin,city,xrefSiteNumber,lotPhaseDistrict,fkSubDivisionId,fkWaterWayId,fkCountyId,fkIslandId,fkWaterwayTypeId,subDivisionHasRestriction,subDivisionRestriction,waterwayHasRestriction,waterwayRestriction,totalSiteImpacts,allPermitsLastExpiryDate,marinaLeaseLastExpiryDate,isAllPermitsExpired,isMarinaLeaseExpired,historicalTracking,historicalEventMemos,historicalDeletedSiteRecs,historicalCorpsPermitNums,historicalSiteHistory,isLockedForEdit,fkLastLockedBy,lastLockedAt,systemLockerBit,fkSubDivision,fkWaterWay,fkCounty,fkIsland,fkWaterwayType,siteStructures,coordinates,siteTypes,projectTypes
6759,136 San Marco Drive,05082008_101002AM,115202.124,-291118.716,True,136 San Marco Drive,,,Tybee,,Lot 2 Parcel D,-2.0,303,28,63.0,3,False,,False,,0.0,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5556,141 South Campbell Avenue,07052005_112613AM,115241.904,-291066.012,True,141 South Campbell Avenue,,4-0016 -01-013,Tybee,,Lot 53,211.0,63,28,63.0,3,False,,False,,0.05138,2019-04-23T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
810,145 Crossgate Road Georgia Steamship Company,08111989_120200AM,115747.776,-292147.02,True,145 Crossgate Road,"End Of Crossgate Road, RM 20.7",,,05241991_120300AM,,-2.0,260,28,-2.0,14,False,,False,,0.35124,2026-07-29T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
155,152 Pelican Drive,11191973_120000AM,115245.18,-291111.732,True,152 Pelican Drive,,10014 01046,,10112002_091732AM for Lot 70 Bulkhead,Lots 69 & 70,140.0,63,28,-2.0,3,False,,False,,0.0068,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
401,16 Liberty Creek Drive,06091981_120100AM,115239.204,-291700.548,True,16 Liberty Creek Drive,,,,,Lot 12 Phase 1A,-2.0,270,28,-2.0,18,False,,False,,1.06573,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
9808,2 Musketeers LLC,08052016_084340AM,113057.244,-292951.26,True,Hird Island Left Of The North River Community Dock,,,,,"Lot 4, Block H, BAL-Mar Sub. GMD 271",-2.0,220,101,24.0,14,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
227,201 Falligant Avenue,08291974_120000AM,115354.08,-291486.024,True,201 Falligant Avenue,,,,,Lot 25,-2.0,41,28,61.0,14,False,,False,,0.0522,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
4587,203-201 Penrose Drive,03252003_014753PM,115351.344,-291556.62,True,203-201 Penrose Drive,,,Savannah,10202004_021549PM,Lots 3 & 4,17.0,250,28,66.0,3,False,,False,,0.13545,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
7129,2101 US Highway 80 (4 Old US Highway 80) Mathews Marina,11052009_080525AM,115258.932,-291179.268,True,2101 US Highway 80 (4 Old US Highway 80),"N Side Of Hwy 80, E Side Of Creek",40024 02001 ,Tybee Island,,Remaining Portion Of A 32 Acre Tract,232.0,190,28,63.0,3,False,,False,,0.08061,2022-08-30T00:00:00,2024-12-31T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
228,2104 East Boulevard,08291974_120100AM,115115.58,-291580.164,True,2104 East Boulevard,Rt. 2 Box 422,10099 11030 ,,,,-2.0,135,28,-2.0,18,False,,False,,0.03261,2025-10-25T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
345,2324 East Boulevard,09191979_120600AM,115101.864,-291597.876,True,2324 East Boulevard,Sheepshead,,,,,-2.0,264,28,-2.0,3,False,,False,,0.01125,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
370,24 Horespen Point Drive,06271980_120100AM,115225.0704,-291073.68,True,24 Horespen Point Drive,Dunns Island Tract,,,,,-2.0,159,28,63.0,3,False,,False,,1.95408,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6579,28 Modena Island Drive,11212007_102229AM,115194.564,-291658.716,True,28 Modena Island Drive,,,Savannah,,"Lot 49a, 6th GMD",-2.0,270,28,41.0,14,False,,False,,0.09655,2017-01-14T00:00:00,1900-01-01T00:00:00,True,True,,,,,,True,30,2022-09-26T15:10:31.77,False,,,,,,[],,[],[]
6781,2862 Fort McAllister Road,06032008_105048AM,114791.724,-292387.32,True,2862 Fort McAllister Road,,,Richmond Hill,,,-2.0,227,18,-2.0,14,False,,False,,0.02066,2014-03-03T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
2210,302 Herb River Drive,01301998_120100AM,115216.3332,-291755.772,True,302 Herb River Drive,Horse Hammock,,,,,-2.0,127,28,-2.0,3,False,,False,,0.26651,2016-05-21T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
8088,"319 W 47th Street, LLC",04112013_102605AM,112376.556,-292768.236,True,319 W 47th Street,319 W Forty Seventh Street,,,,Lot 33 Block 96,421.0,309,66,53.0,3,False,,False,,0.57535,2025-07-17T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
346,420 Walthour Road,09191979_120700AM,115257.816,-291458.556,True,420 Walthour Road,,,,,Lot A,326.0,22,28,67.0,3,False,,False,,0.03094,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
302,4434 Bryan Fishermans Co-Op Road,05101977_120200AM,114546.456,-292280.652,True,4434 Bryan Fishermans Co-Op Road,,076 001,,,"Tracts 1-4, Parcel A-D",-2.0,176,18,-2.0,3,False,,False,,1.76194,2028-07-28T00:00:00,2017-01-16T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1010,5 Alley #3,07111991_120100AM,115176.78,-291073.392,True,5 Alley #3,,,Tybee Island,CMP#779,"13A & 13B, Alley 3",-2.0,10,28,63.0,14,False,,False,,0.02071,2025-08-13T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
304,5 Brewster Street,07121977_120000AM,115135.704,-292255.812,True,5 Brewster Street,,,,08051974_120100AM,Lot 17,552.0,114,28,-2.0,14,False,,False,,0.00399,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3581,503 7th Street,10232000_120000AM,115221.672,-291052.908,True,503 7th Street,,,Tybee,04022012_021523PM & 12071994_120000AM,Lots 181 & 182 Miller & 5th Avenue,-2.0,8,28,63.0,13,False,,False,,0.0055,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
9801,503 Herb River Drive,08022016_024223PM,115236.288,-291744.216,True,503 Herb River Drive,,1-0223-03-006,Savannah,,Lot 35 & Port. Of Lot 36 Gnann 6th GMD,161.0,127,28,19.0,6,False,,False,,0.01253,2023-03-26T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
2073,"509 Foundation Drive (Colonial Terminal Expansion, GA Kaolin Terminal)",08141997_120100AM,115604.1936,-292054.1904,True,509 Foundation Drive,River Mile 17.2,10606 01002 ,,,Part of Foundation Brampton & Retreat Tracts,-2.0,260,28,-2.0,14,False,,False,,4.15839,2028-05-19T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
95,5706 LaRoche Avenue,08091972_120000AM,115235.316,-291834.0,True,5706 LaRoche Avenue,,,,,Lot 1,42.0,149,28,-2.0,14,False,,False,,0.03264,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3248,59 Falligant Avenue,02022000_120000AM,115348.14,-291505.644,True,59 Falligant Avenue,"Screven, N. Wilmington",1-0052-01-017,Savannah,,Eastern Portion Orf Lot 16,574.0,41,28,61.0,14,False,,False,,0.04522,2023-09-12T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1896,6 Morningside Drive Sampsons Point  Community Dock,08221996_120000AM,115262.568,-291439.872,True,6 Morningside Drive,,,Wilmington,10212004_120000AM,"Parcel 1 & 2, Lot F",296.0,22,28,67.0,3,False,,False,,0.21641,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
4588,609 Youmans Road,03252003_030942PM,114192.66492,-292449.0564,True,609 Youmans Road,Woods/Osteen Holdings (Spartina Landing) Community,,Hinesville,,"Lots 8 & 9, 1359th GMD",571.0,194,92,-2.0,3,False,,False,,0.16805,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
322,618 Herb River Drive,04091979_120100AM,115245.684,-291723.156,True,618 Herb River Drive,,,Savannah,,Lot 41 Phase III,161.0,149,28,19.0,14,False,,False,,0.05741,2018-02-17T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
678,"701 13th LLC (Teston, Elsby)",04151988_120000AM,115193.304,-291071.808,True,358A And 359A Venetian Drive,1306 Venetian Drive,40011 09021,Tybee Island,,358A & 359A,-2.0,159,28,63.0,7,False,,True,,0.08375,2028-12-15T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
4837,803 Jones Avenue,11252003_084526AM,115215.084,-291051.684,True,803 Jones Avenue,,4-0005 -24-002,Tybee,,,-2.0,159,28,63.0,3,False,,False,,0.03444,2014-03-15T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6120,89 & 101 Herb River Drive,11092006_115114AM,115188.3,-291783.708,True,89 & 101 Herb River Drive,,Lot 6 & 7,Savannah,05022007_123500PM AND 09232013_091742AM,"5A, 6th GMD, Phase II",170.0,149,28,26.0,14,False,,False,,0.33466,2012-11-30T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
308,9 Brewster Street,10201977_120100AM,115133.832,-292257.144,True,9 Brewster Street,"6th GMD ?/ PO BX 61678 SAV, GA 31419 & 1137 Mowhaw",20860A02011 ,Savannah,,"Lots A & B , Windward Division 19",552.0,114,28,-2.0,14,False,,False,,0.02753,2022-03-06T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
22,9401 Whitefield Avenue,12011971_120000AM,115076.16,-291975.804,True,9401 Whitefield Avenue,Mailing: 628 & 630 Whitefield Avenue; Youngs/Zirkl,,,SEE ALSO 07241972_120000AM,"Lots 1-4, G. Schwarz Land",-2.0,147,28,-2.0,3,False,,False,,0.33173,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
694,"A-J's Marina (Tybee Marina, Marlin Marina)",05191988_120200AM,115190.50017,-291079.47049,True,1315 Chatham Street,,4-0011-09-010,Tybee,,"Lots 48 & 49 - N Part Lot 49, 5th GMD, Ward 6",-2.0,303,28,63.0,3,False,,False,,0.266,2019-08-21T00:00:00,2029-03-01T00:00:00,True,False,,,,,,False,-1,,False,,,,,,[],,[],[]
6589,Ali,12032007_113800AM,115197.732,-291596.184,True,818 Wilmington Island Road,,10108 01005,Savannah,,"Lots 53, 54 & 55",-2.0,320,28,67.0,14,False,,False,,0.03954,2031-02-18T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
10368,ALL Belvedere Island POA 4-Family Docks,05262017_035144PM,113928.66,-292687.128,True,"Belvedere Island Dock A, Dock B, Dock C,","Dock D, Dock E, Dock G, Dock H, Dock I, Dock J",,,,"Lot 2, Lot 3, Lot 4, Lot 5, Lot 6, Lot 7, Lot 8, Lot 9, Lot 10, Lot 11, Lot 12, Lot 13, Lot 14, Lot 15, Lot 16, Lot 17, Lot 18, Lot 19, Lot 20, Lot 21, Lot 87, Lot 96, Lot 97, Lot 98, Lot 99, Lot 100, Lot 101, Lot 102, Lot 103, Lot 104, Lot 105, Lot 106, Lot 107, Lot 108, Lot 109, Lot 110",31.0,275,101,6.0,14,False,,False,,0.05353,2025-01-24T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
11913,ALSL Enterprises LP,04302021_115105AM,114892.632,-291881.016,True,Netherclift Way Causeway,105 Netherclift Way,,Savannah,04302021_113014AM,,449.0,89,28,56.0,5,False,,False,,0.01263,2029-04-24T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
2053,Altamaha Wildlife Management Area Dikes,07161997_120200PM,112820.99976,-293023.188,True,,"Rhetts, Butler & Champney Islands",,,,,-2.0,4,101,-2.0,14,False,,False,,6.55632,2030-12-19T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
463,Andrews Island DMCA Causeway & Mitigation Areas,09131983_120500AM,112148.316,-293411.628,True,,Homer Wilson Blvd. & P Street Extension,,,,,-2.0,2,66,3.0,3,False,,False,,5.41414,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6156,Ardmore & Gay (Bacon & Powers) - Part Of Old Tybee Marina /Marlin Marina,12272006_034319PM,115189.488,-291077.7048,True,1317 & 1319 Chatham Avenue,,40011 09010A,Tybee,,"Lot 48 & 49 (Lot A & B), Ward 6",-2.0,10,28,63.0,14,False,,False,,0.06001,2012-06-04T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5839,Ashley Road at Wilmington Island Road Outfall Jd,05042006_012212PM,115182.684,-291589.02,True,Canal ROW adjacent to 1001 Wilmington Island Road,Between 930 And 1002 Wilmington Island Road,,,,,-2.0,320,28,67.0,14,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6349,"Atlantic Point Subdivision HOA, Inc. (Atlantic Point S/d)",05232007_120000AM,112282.1748,-292995.1332,True,10 - 15 Atlantic Point Drive,,,,,"Lots 1, 2, 6 & 7, 25th GMD",160.0,97,66,59.0,3,False,,False,,0.19876,2018-02-13T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
11729,"BABYCATWO, LLC",12062020_065043PM,112273.308,-292847.256,True,265 West Ninth Street,,05-00491,,,"Lot 17, Block 26,",420.0,309,66,53.0,7,False,,False,,0.02975,2025-09-28T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6941,Back River/14th Street Drainage Improvements,12112008_124500PM,115191.0,-291075.84,True,,14th St. & Chatham Ave.,,Tybee,,,-2.0,10,28,63.0,14,False,,False,,0.00145,2012-07-26T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5722,Banks (Hostetter),01102006_104130AM,113685.912,-292462.884,True,Lot 4 & 5 Barbour Island,,,,,4/5,14.0,12,101,4.0,14,False,,False,,0.13081,2017-01-24T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5199,Barber,08262004_120100PM,111131.424,-293703.948,True,3745 Crooked River Drive,100 River Oak Street (mailing),,,,"Lot 14, Block 3, 31st GMD",190.0,75,23,-2.0,14,False,,False,,0.01405,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5972,Barbour Point,08232006_120000AM,115291.2204,-292342.0932,True,703 Derrick Inn Road,,,,,"Lots 140 (A), 141 (B), 7th GMD, Saranac Farm Lots",-2.0,256,28,-2.0,3,False,,False,,0.08815,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,30,2017-02-16T10:25:21.84,False,,,,,,[],,[],[]
1072,Barbour River Club Dock,01031992_120000AM,113831.76996,-292548.30984,True,1636 Goulds Landing Road NE,,0082E 0045,Townsend,,GOULD'S LANDING PH II TRACT II,-2.0,12,101,-2.0,14,False,,False,,0.12764,2031-02-25T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1552,Barker,09261994_120000AM,110617.38,-293628.996,True,900 W Conyers Street,End Of Dilworth,136 009,St. Marys,,Dilworth Street,-2.0,32,23,-2.0,3,False,,False,,0.02071,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3524,Barrow Clam Dock,08222000_120100AM,113524.02,-292922.316,True,,Pelican Point Road,,,,"Lots 7 & 8, Block J",29.0,253,101,-2.0,1,False,,False,,0.0392,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1312,"Battery Point (Ocean Inlet Court, Battery Row)",05251993_120000AM,115258.32,-291146.76,True,,Hwy 80 & E End Lazaretto Creek,,,12292004_1045,"Lots 1-24, Harr Tract, Haar Tract West",-2.0,190,28,-2.0,3,False,,False,,0.2498,2019-02-21T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
8509,Baumann (Arras),11062013_090710AM,111864.924,-294154.596,True,2310 Horse Stamp Church Road,,074 020,Waverly,,,-2.0,314,23,-2.0,3,False,,False,,10.40457,2031-02-12T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
6065,Bayou Oaks JD & Community Dock,10132006_031424PM,112142.19996,-293634.0972,True,,Bayou Oaks,,Brunswick,,"Lot 44, Fenton Estates Tract",143.0,273,66,-2.0,14,False,,False,,0.09782,2014-04-29T00:00:00,1900-01-01T00:00:00,True,True,,,,,07/22/2011 - nothing constructed,False,-1,,False,,,,,,[],,[],[]
5969,"BB Yacht Club (Bona Bella Marina, Bragg, Rhangos)",08212006_120000AM,115248.9204,-291812.6484,True,2740 Livingston Avenue,,1-0295-01-019,,,Bonna Bella Phase II,-2.0,70,28,-2.0,3,False,,False,,0.7685,2014-03-03T00:00:00,2009-02-28T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
8,Belfast Estates,09101971_120000AM,114562.044,-292684.032,True,E Old Mill Road @ Belfast River Road,COMMON AREA LOT&DOCK FCILITIES PH2,0571 167 CA1,,,Btwn Lots 23 And 1,25.0,18,18,-2.0,14,False,,False,,0.14513,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
7303,Belle Point Subdisivion Drainage Ditch,07142010_014901PM,112401.5976,-293255.0388,True,,Belle Point,,,,,27.0,155,66,-2.0,3,False,,False,,0.00241,2021-03-10T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3264,Belleville (Bellville) Public Boatramp,02222000_120100PM,113512.68,-292890.9276,True,,County Road #127/Susan Baker Drive,,Belleville,,,-2.0,258,101,-2.0,14,False,,False,,0.20859,2013-05-12T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
10430,Belvedere Island 4-Family Dock D,07172017_042348PM,113928.48,-292668.012,True,Fairhope Drive,Fourth Dock To The East From The Community Dock,,Townsend,05262017_035144PM,"Lot 14, Lot 15, Lot 16, Lot 17",31.0,275,101,6.0,14,False,,False,,0.0,2009-01-24T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5184,Belvedere Island 4-Family Dock E,08132004_081830AM,113928.084,-292662.576,True,Fairhope Drive,Fifth Dock To The East From The Community Dock,,Townsend,05262017_035144PM,"Lots 18, Lot 19, Lot 20, Lot 21",31.0,275,101,6.0,14,True,,False,,0.15005,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1308,Belvedere Island 4-family Dock G,05241993_120000AM,113940.612,-292705.848,True,Riverpoint Lane,Fourth Dock To The West Of The Community Dock,,Townsend,05262017_035144PM,"Lot 107, Lot 108, Lot 109, Lot 110",31.0,275,101,6.0,14,True,,False,,0.00826,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3626,Belvedere Island 4-family Dock H,12072000_120000AM,113939.46,-292702.68,True,Riverpoint Lane,Third Dock To The West From The Community Dock,,Townsend,05262017_035144PM,"Lot 103, Lot 104, Lot 105, Lot 106",31.0,275,101,6.0,14,True,,False,,0.16657,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1311,Belvedere Island 4-family Dock I,05241993_120100PM,113938.3836,-292697.0244,True,Riverpoint Lane,Second Dock To The West Of The Community Dock,,Townsend,05262017_035144PM,"Lot 99, Lot 100, Lot 101, Lot 102",31.0,275,101,6.0,14,True,,False,,0.19529,2019-06-28T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
4913,Belvedere Island Main Community Dock (Dock F),02062004_101354AM,113935.896,-292685.508,True,Clubhouse Loop NE,,,Townsend,06271988_120000AM,,31.0,275,101,6.0,14,True,,False,,0.24106,2014-10-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
708,Belvedere Island Plantation Main Community Dock (Dock F),06271988_120000AM,113934.744,-292686.156,True,10 Clubhouse Drive,Community Recreation Area,,Townsend,02062004_101354AM,,31.0,275,101,6.0,14,True,,False,,0.3523,2017-04-14T00:00:00,2032-06-30T00:00:00,True,False,,,,,,False,-1,,False,,,,,,[],,[],[]
478,Berrie (Lewis) Causeway To Hammock,03131984_120100AM,111860.4348,-293661.9,True,4457 DOVER BLUFF RD,Private Hammock,,,,,-2.0,201,23,-2.0,3,False,,False,,0.25076,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
13433,Bethesda Home for Boys,07282025_124158PM,115052.184,-291928.2264,True,9520 Ferguson Avenue,,10444 01001,Savannah,,,,213,28,,18,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
