Site,Install_year,type,year,biomass,flats_mean,years_since_install,time_since_intervention,installation_year,PostInstall,YearSinceInstall,resid
Jointer Creek Oyster Reef C,2012,Oyster Reef,1985,431.1207581,0.9457068592309952,-27,0,2012,0,0,64.85807680435835
Jointer Creek Oyster Reef D,2012,Oyster Reef,1985,544.7050171,0.5909517258405685,-27,0,2012,0,0,54.783537232338745
Turtle A,2014,Oyster Reef,1985,974.2473755,0.5007299967110157,-29,0,2014,0,0,107.10543524401703
Turtle B,2014,Oyster Reef,1985,428.2303467,0.3458970785140991,-29,0,2014,0,0,-0.4501653402080592
Turtle C,2014,Oyster Reef,1985,939.7070313,0.6733470559120178,-29,0,2014,0,0,218.65551534498752
Turtle D,2014,Oyster Reef,1985,524.1133423,0.3691754067937533,-29,0,2014,0,0,26.020114199122645
Turtle E,2014,Oyster Reef,1985,451.9915466,0.4754449360900455,-29,0,2014,0,0,56.45182387657951
Bellville Boat Ramp Site,2008,Oyster Reef,1985,1029.989502,0.525276843044493,-23,0,2008,0,0,107.2796855651236
Plantation Creek Site,2010,Oyster Reef,1986,424.1602478,0.3949766308069229,-24,0,2010,0,0,-144.62361087978866
Florida Passage Site,2012,Oyster Reef,1986,713.2334595,0.850233460466067,-26,0,2012,0,0,114.1773067169313
Oatland Site,2014,Oyster Reef,1986,551.1766357,0.30857665985822674,-28,0,2014,0,0,55.70429118544479
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1986,406.8314209,0.8745405872662863,-23,0,2009,0,0,-91.6982091600251
Oyster Creek Site B,2013,Oyster Reef,1986,358.2865906,0.762279976497997,-27,0,2013,0,0,39.59132633420256
Jointer Creek Oyster Reef A,2012,Oyster Reef,1986,300.4926758,0.8156594634056091,-26,0,2012,0,0,-50.61836486885926
Jointer Creek Oyster Reef B,2012,Oyster Reef,1986,302.6686707,0.8160249292850494,-26,0,2012,0,0,-56.67468038215526
Jointer Creek Oyster Reef C,2012,Oyster Reef,1986,335.5108948,0.9274038622776667,-26,0,2012,0,0,-28.553072679597733
Jointer Creek Oyster Reef D,2012,Oyster Reef,1986,405.7972107,0.5450953965385755,-26,0,2012,0,0,-81.92555535161733
Turtle A,2014,Oyster Reef,1986,729.6066284,0.5130677074193954,-28,0,2014,0,0,-135.33659803993908
Turtle B,2014,Oyster Reef,1986,348.2794189,0.46173249185085297,-28,0,2014,0,0,-78.20237932416416
Turtle C,2014,Oyster Reef,1986,564.5061646,0.7306932359933853,-28,0,2014,0,0,-154.3466375389686
Turtle D,2014,Oyster Reef,1986,411.3666687,0.428204412261645,-28,0,2014,0,0,-84.52784558483347
Turtle E,2014,Oyster Reef,1986,328.8537292,0.55020093669494,-28,0,2014,0,0,-64.48727970737662
Bellville Boat Ramp Site,2008,Oyster Reef,1986,823.9146729,0.5514697382847468,-22,0,2008,0,0,-96.59642971883238
Plantation Creek Site,2010,Oyster Reef,1987,444.7601013,0.366826918721199,-23,0,2010,0,0,-121.82504356374568
Florida Passage Site,2012,Oyster Reef,1987,566.3395386,0.8454902410507202,-25,0,2012,0,0,-30.51790036702573
Oatland Site,2014,Oyster Reef,1987,462.3597107,0.27708180323243137,-27,0,2014,0,0,-30.913919998512256
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1987,387.4683533,0.88195298910141,-22,0,2009,0,0,-108.86256294398214
Oyster Creek Site B,2013,Oyster Reef,1987,291.5629578,0.7781831290986803,-26,0,2013,0,0,-24.933592649754473
Jointer Creek Oyster Reef A,2012,Oyster Reef,1987,347.0911255,0.7955853740374247,-25,0,2012,0,0,-1.8212013528162743
Jointer Creek Oyster Reef B,2012,Oyster Reef,1987,360.0086365,0.7842035293579102,-25,0,2012,0,0,2.863999233887739
Jointer Creek Oyster Reef C,2012,Oyster Reef,1987,355.1801758,0.9195984423160553,-25,0,2012,0,0,-6.685077863554795
Jointer Creek Oyster Reef D,2012,Oyster Reef,1987,418.0065918,0.39503725279461255,-25,0,2012,0,0,-67.51746043557432
Turtle A,2014,Oyster Reef,1987,701.8984375,0.49413763934915717,-27,0,2014,0,0,-160.84607512389607
Turtle B,2014,Oyster Reef,1987,396.5918579,0.4428370773792267,-27,0,2014,0,0,-27.69122650812119
Turtle C,2014,Oyster Reef,1987,638.6967163,0.7235624392827352,-27,0,2014,0,0,-77.9573720229256
Turtle D,2014,Oyster Reef,1987,472.5120544,0.36832281649112697,-27,0,2014,0,0,-21.18374606879047
Turtle E,2014,Oyster Reef,1987,373.3226929,0.4901806652545929,-27,0,2014,0,0,-17.819602191333615
Bellville Boat Ramp Site,2008,Oyster Reef,1987,810.8752441,0.5380512584339489,-21,0,2008,0,0,-107.4371447027894
Plantation Creek Site,2010,Oyster Reef,1988,454.6669006,0.3426711022853851,-22,0,2010,0,0,-109.71953044770265
Florida Passage Site,2012,Oyster Reef,1988,714.5567627,0.8257724046707153,-24,0,2012,0,0,119.89803754901732
Oatland Site,2014,Oyster Reef,1988,528.9411621,0.2676876053214073,-26,0,2014,0,0,37.866245217530775
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1988,468.236969,0.914781908194224,-21,0,2009,0,0,-25.89523342793916
Oyster Creek Site B,2013,Oyster Reef,1988,369.7515564,0.7152518289429801,-25,0,2013,0,0,55.45371976628854
Jointer Creek Oyster Reef A,2012,Oyster Reef,1988,369.0821838,0.7767687737941742,-24,0,2012,0,0,22.368570763226728
Jointer Creek Oyster Reef B,2012,Oyster Reef,1988,337.5795898,0.7394308567047119,-24,0,2012,0,0,-17.366333650069294
Jointer Creek Oyster Reef C,2012,Oyster Reef,1988,337.8548584,0.9059972107410431,-24,0,2012,0,0,-21.811681447511774
Jointer Creek Oyster Reef D,2012,Oyster Reef,1988,403.2803955,0.3859945401549339,-24,0,2012,0,0,-80.04494291953137
Turtle A,2014,Oyster Reef,1988,736.5812988,0.5003309905529022,-26,0,2014,0,0,-123.96450000785308
Turtle B,2014,Oyster Reef,1988,467.89328,0.3893473879857497,-26,0,2014,0,0,45.80890940792182
Turtle C,2014,Oyster Reef,1988,780.2213745,0.7128835558891297,-26,0,2014,0,0,65.76599999311736
Turtle D,2014,Oyster Reef,1988,525.6679077,0.36875677650625055,-26,0,2014,0,0,34.1708210472525
Turtle E,2014,Oyster Reef,1988,320.4781799,0.5134584099054337,-26,0,2014,0,0,-68.46540137529064
Bellville Boat Ramp Site,2008,Oyster Reef,1988,1027.419189,0.5364086682146246,-20,0,2008,0,0,111.30551401325351
Plantation Creek Site,2010,Oyster Reef,1989,633.7443237,0.35905874859202985,-21,0,2010,0,0,71.55660646834122
Florida Passage Site,2012,Oyster Reef,1989,735.7875366,0.8004578785462813,-23,0,2012,0,0,143.32752526506113
Oatland Site,2014,Oyster Reef,1989,523.3167725,0.24963602220470252,-25,0,2014,0,0,34.44056943357458
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1989,562.72229,0.8807786865667864,-20,0,2009,0,0,70.78880138810479
Oyster Creek Site B,2013,Oyster Reef,1989,366.1830444,0.7604917221599155,-24,0,2013,0,0,54.08392158233244
Jointer Creek Oyster Reef A,2012,Oyster Reef,1989,375.2559204,0.7691365913911299,-23,0,2012,0,0,30.741021179270604
Jointer Creek Oyster Reef B,2012,Oyster Reef,1989,381.6478271,0.8225098848342896,-23,0,2012,0,0,28.900617465974562
Jointer Creek Oyster Reef C,2012,Oyster Reef,1989,380.1149902,0.9213873093778436,-23,0,2012,0,0,22.64716416853213
Jointer Creek Oyster Reef D,2012,Oyster Reef,1989,508.5788879,0.46544325622645294,-23,0,2012,0,0,27.452263296512513
Turtle A,2014,Oyster Reef,1989,883.0161133,0.4837210097096183,-25,0,2014,0,0,24.669028308190832
Turtle B,2014,Oyster Reef,1989,453.4178772,0.37626197798685596,-25,0,2014,0,0,33.532220423965725
Turtle C,2014,Oyster Reef,1989,812.3896484,0.6964803278446198,-25,0,2014,0,0,100.13298770916128
Turtle D,2014,Oyster Reef,1989,555.3731689,0.37683313136751,-25,0,2014,0,0,66.07479606329639
Turtle E,2014,Oyster Reef,1989,445.8544006,0.5417593419551849,-25,0,2014,0,0,59.109533140753285
Bellville Boat Ramp Site,2008,Oyster Reef,1989,1022.601196,0.5208190842108293,-19,0,2008,0,0,108.6862348292974
Plantation Creek Site,2010,Oyster Reef,1990,417.8236389,0.39589506983757017,-20,0,2010,0,0,-142.1653645156158
Florida Passage Site,2012,Oyster Reef,1990,455.015625,0.8319255643420749,-22,0,2012,0,0,-135.24567251889584
Oatland Site,2014,Oyster Reef,1990,415.1896973,0.3201083224266767,-24,0,2014,0,0,-71.48779195038242
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1990,351.4916992,0.8548305895593431,-19,0,2009,0,0,-138.24307559585225
Oyster Creek Site B,2013,Oyster Reef,1990,257.2732239,0.8140254020690918,-23,0,2013,0,0,-52.627185101624605
Jointer Creek Oyster Reef A,2012,Oyster Reef,1990,254.4259949,0.8465133786201477,-22,0,2012,0,0,-87.89019050468639
Jointer Creek Oyster Reef B,2012,Oyster Reef,1990,303.1596069,0.8521333754062652,-22,0,2012,0,0,-47.3888889179824
Jointer Creek Oyster Reef C,2012,Oyster Reef,1990,311.3362732,0.9616178452968598,-22,0,2012,0,0,-43.93283901542492
Jointer Creek Oyster Reef D,2012,Oyster Reef,1990,364.962738,0.525963419675827,-22,0,2012,0,0,-113.96517278744449
Turtle A,2014,Oyster Reef,1990,668.6830444,0.5048152893781662,-24,0,2014,0,0,-187.46532677576624
Turtle B,2014,Oyster Reef,1990,338.1809998,0.4016316682100296,-24,0,2014,0,0,-79.50594315999132
Turtle C,2014,Oyster Reef,1990,647.7753296,0.7127181622717116,-24,0,2014,0,0,-62.282617274795825
Turtle D,2014,Oyster Reef,1990,385.4191895,0.37925841659307474,-24,0,2014,0,0,-101.68046952066061
Turtle E,2014,Oyster Reef,1990,313.2321777,0.5493727326393127,-24,0,2014,0,0,-71.31397594320373
Bellville Boat Ramp Site,2008,Oyster Reef,1990,813.3726807,0.5847809821367264,-18,0,2008,0,0,-98.34356665465953
Plantation Creek Site,2010,Oyster Reef,1991,1066.459595,0.3246073966676538,-19,0,2010,0,0,508.6693054004272
Florida Passage Site,2012,Oyster Reef,1991,929.5487671,0.8259585120461204,-21,0,2012,0,0,341.4861833971471
Oatland Site,2014,Oyster Reef,1991,525.0217285,0.241716306656599,-23,0,2014,0,0,40.54295306566058
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1991,448.1933289,0.7865609093145891,-18,0,2009,0,0,-39.34273207980931
Oyster Creek Site B,2013,Oyster Reef,1991,338.1025085,0.7820819881227281,-22,0,2013,0,0,30.40081331441837
Jointer Creek Oyster Reef A,2012,Oyster Reef,1991,318.63797,0.7615220546722412,-21,0,2012,0,0,-21.479501588643416
Jointer Creek Oyster Reef B,2012,Oyster Reef,1991,355.5481873,0.766708103093234,-21,0,2012,0,0,7.19840529806055
Jointer Creek Oyster Reef C,2012,Oyster Reef,1991,359.9405212,0.889577941461043,-21,0,2012,0,0,6.870122800618049
Jointer Creek Oyster Reef D,2012,Oyster Reef,1991,490.3120728,0.39557938650250435,-21,0,2012,0,0,13.582875828598503
Turtle A,2014,Oyster Reef,1991,1601.361938,0.4383457506244833,-23,0,2014,0,0,747.4122806402768
Turtle B,2014,Oyster Reef,1991,427.9983215,0.40335120125250384,-23,0,2014,0,0,12.510092356051643
Turtle C,2014,Oyster Reef,1991,748.2758789,0.704543801871213,-23,0,2014,0,0,40.416645841247146
Turtle D,2014,Oyster Reef,1991,466.1382751,0.36921077966690063,-23,0,2014,0,0,-18.762670104617655
Turtle E,2014,Oyster Reef,1991,355.9318542,0.5033060068433935,-23,0,2014,0,0,-26.415585627160795
Bellville Boat Ramp Site,2008,Oyster Reef,1991,1122.770752,0.5551652883489927,-17,0,2008,0,0,213.2532184613833
Plantation Creek Site,2010,Oyster Reef,1992,605.1796875,0.4439718186855316,-18,0,2010,0,0,49.588111716471076
Florida Passage Site,2012,Oyster Reef,1992,656.9455566,0.8091106593608857,-20,0,2012,0,0,71.08168671319106
Oatland Site,2014,Oyster Reef,1992,495.2327881,0.2628905392355389,-22,0,2014,0,0,12.952726481704474
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1992,563.2223511,0.8324730071154508,-17,0,2009,0,0,77.88500393623457
Oyster Creek Site B,2013,Oyster Reef,1992,344.1502075,0.8321032268660409,-21,0,2013,0,0,38.647226130462286
Jointer Creek Oyster Reef A,2012,Oyster Reef,1992,365.8925171,0.800924625661638,-20,0,2012,0,0,27.9737593274005
Jointer Creek Oyster Reef B,2012,Oyster Reef,1992,382.3275452,0.8058249023225572,-20,0,2012,0,0,36.17647701410442
Jointer Creek Oyster Reef C,2012,Oyster Reef,1992,371.3945313,0.8737184047698975,-20,0,2012,0,0,20.522846716661945
Jointer Creek Oyster Reef D,2012,Oyster Reef,1992,513.3344727,0.4010487380954954,-20,0,2012,0,0,38.80398954464238
Turtle A,2014,Oyster Reef,1992,948.0881348,0.5216288268566132,-22,0,2014,0,0,96.3371912563207
Turtle B,2014,Oyster Reef,1992,429.8158264,0.45703381597995757,-22,0,2014,0,0,16.526311072095552
Turtle C,2014,Oyster Reef,1992,872.8349609,0.7640159063869052,-22,0,2014,0,0,167.17444165729114
Turtle D,2014,Oyster Reef,1992,517.5519409,0.4567672908306122,-22,0,2014,0,0,34.84970951142623
Turtle E,2014,Oyster Reef,1992,427.8970032,0.5362657189369202,-22,0,2014,0,0,47.748277188883094
Bellville Boat Ramp Site,2008,Oyster Reef,1992,1062.01355,0.5439236760139465,-16,0,2008,0,0,154.6947302774272
Plantation Creek Site,2010,Oyster Reef,1993,428.6383362,0.46219315462642246,-17,0,2010,0,0,-124.75452576748592
Florida Passage Site,2012,Oyster Reef,1993,520.3607788,0.8704894383748373,-19,0,2012,0,0,-63.30437727076594
Oatland Site,2014,Oyster Reef,1993,462.3419189,0.29260093109174207,-21,0,2014,0,0,-17.73942890225254
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1993,410.424408,0.8401659309864045,-16,0,2009,0,0,-72.71422534772239
Oyster Creek Site B,2013,Oyster Reef,1993,292.5319824,0.8950552003724235,-20,0,2013,0,0,-10.77228515349475
Jointer Creek Oyster Reef A,2012,Oyster Reef,1993,272.1950684,0.834601965215471,-19,0,2012,0,0,-63.52497555655651
Jointer Creek Oyster Reef B,2012,Oyster Reef,1993,279.6816406,0.8220004200935364,-19,0,2012,0,0,-64.27071376985259
Jointer Creek Oyster Reef C,2012,Oyster Reef,1993,327.8086548,0.951718944311142,-19,0,2012,0,0,-20.864315967295056
Jointer Creek Oyster Reef D,2012,Oyster Reef,1993,382.901123,0.4297156572341919,-19,0,2012,0,0,-89.43064633931465
Turtle A,2014,Oyster Reef,1993,756.7299805,0.5610481679439545,-21,0,2014,0,0,-92.82224922763635
Turtle B,2014,Oyster Reef,1993,331.2183533,0.4899329299276525,-21,0,2014,0,0,-79.87244821186147
Turtle C,2014,Oyster Reef,1993,624.3972778,0.7290800303220749,-21,0,2014,0,0,-79.06452762666595
Turtle D,2014,Oyster Reef,1993,359.771637,0.44650352001190186,-21,0,2014,0,0,-120.73188057253077
Turtle E,2014,Oyster Reef,1993,316.6222839,0.5698499351739883,-21,0,2014,0,0,-61.32772829507388
Bellville Boat Ramp Site,2008,Oyster Reef,1993,802.2044678,0.5396907528241476,-15,0,2008,0,0,-102.91563810652974
Plantation Creek Site,2010,Oyster Reef,1994,653.0330811,0.3318810219114477,-16,0,2010,0,0,101.83893294855704
Florida Passage Site,2012,Oyster Reef,1994,741.8510742,0.835772180557251,-18,0,2012,0,0,160.38463194527696
Oatland Site,2014,Oyster Reef,1994,530.7637939,0.2115146057680249,-20,0,2014,0,0,52.88115991379044
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1994,608.8296509,0.8499250574545427,-15,0,2009,0,0,127.88973136832061
Oyster Creek Site B,2013,Oyster Reef,1994,400.8688049,0.7827151285277473,-19,0,2013,0,0,99.76325116254822
Jointer Creek Oyster Reef A,2012,Oyster Reef,1994,392.7398682,0.7686127424240112,-18,0,2012,0,0,59.218538059486434
Jointer Creek Oyster Reef B,2012,Oyster Reef,1994,420.8674316,0.7636168549458185,-18,0,2012,0,0,79.11379104619039
Jointer Creek Oyster Reef C,2012,Oyster Reef,1994,396.4850464,0.9234345306952795,-18,0,2012,0,0,50.010789448747914
Jointer Creek Oyster Reef D,2012,Oyster Reef,1994,613.9782715,0.31090600788593287,-18,0,2012,0,0,143.84521597672835
Turtle A,2014,Oyster Reef,1994,971.6625977,0.4388706819577651,-20,0,2014,0,0,124.30908178840662
Turtle B,2014,Oyster Reef,1994,500.6266479,0.39702711593021045,-20,0,2014,0,0,91.73456020418155
Turtle C,2014,Oyster Reef,1994,833.5874023,0.713173205202276,-20,0,2014,0,0,132.32431068937706
Turtle D,2014,Oyster Reef,1994,600.2731934,0.36897610263390973,-20,0,2014,0,0,121.96838964351218
Turtle E,2014,Oyster Reef,1994,472.7472229,0.5076358887282285,-20,0,2014,0,0,96.99592452096908
Bellville Boat Ramp Site,2008,Oyster Reef,1994,1039.267334,0.5092882392081347,-14,0,2008,0,0,136.34594190951316
Plantation Creek Site,2010,Oyster Reef,1995,724.0513306,0.293363507091999,-15,0,2010,0,0,175.05589626460096
Florida Passage Site,2012,Oyster Reef,1995,780.9871826,0.8276390850543975,-17,0,2012,0,0,201.71945416132087
Oatland Site,2014,Oyster Reef,1995,679.7028809,0.29246437847614287,-19,0,2014,0,0,204.0189607298343
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1995,590.7879639,0.7981424223292958,-14,0,2009,0,0,112.04675818436448
Oyster Creek Site B,2013,Oyster Reef,1995,412.3858948,0.8040871769189835,-18,0,2013,0,0,113.47905487859214
Jointer Creek Oyster Reef A,2012,Oyster Reef,1995,541.1696777,0.7435051582076333,-17,0,2012,0,0,209.8470613755303
Jointer Creek Oyster Reef B,2012,Oyster Reef,1995,466.9946594,0.7585287310860374,-17,0,2012,0,0,127.43973266223429
Jointer Creek Oyster Reef C,2012,Oyster Reef,1995,472.362854,0.899344032460993,-17,0,2012,0,0,128.08731086479185
Jointer Creek Oyster Reef D,2012,Oyster Reef,1995,670.6929321,0.2513568442314863,-17,0,2012,0,0,202.75859039277225
Turtle A,2014,Oyster Reef,1995,1078.811646,0.3750917807221413,-19,0,2014,0,0,233.65684390445062
Turtle B,2014,Oyster Reef,1995,544.8619385,0.37205030701377173,-19,0,2014,0,0,138.16856462022537
Turtle C,2014,Oyster Reef,1995,921.8445435,0.7128260996606615,-19,0,2014,0,0,222.78016570542093
Turtle D,2014,Oyster Reef,1995,599.9224243,0.32962949167598377,-19,0,2014,0,0,123.8163343595561
Turtle E,2014,Oyster Reef,1995,550.3883057,0.5047203600406647,-19,0,2014,0,0,176.83572113701302
Bellville Boat Ramp Site,2008,Oyster Reef,1995,1094.77124,0.5416103899478912,-13,0,2008,0,0,194.0485617255572
Plantation Creek Site,2010,Oyster Reef,1996,651.4071655,0.27150232277133246,-14,0,2010,0,0,104.61044498064393
Florida Passage Site,2012,Oyster Reef,1996,518.427002,0.8381476456468756,-16,0,2012,0,0,-58.642012622636116
Oatland Site,2014,Oyster Reef,1996,464.1482849,0.23256413841789414,-18,0,2014,0,0,-9.33692145412266
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1996,597.656311,0.8352478742599487,-13,0,2009,0,0,121.1138191004074
Oyster Creek Site B,2013,Oyster Reef,1996,279.9411316,0.7585385560989379,-17,0,2013,0,0,-16.76699450536489
Jointer Creek Oyster Reef A,2012,Oyster Reef,1996,394.4703979,0.7392823934555054,-16,0,2012,0,0,65.34649539157334
Jointer Creek Oyster Reef B,2012,Oyster Reef,1996,406.9677734,0.7585882246494293,-16,0,2012,0,0,69.61156047827728
Jointer Creek Oyster Reef C,2012,Oyster Reef,1996,394.8773804,0.9166106164455414,-16,0,2012,0,0,52.80055108083479
Jointer Creek Oyster Reef D,2012,Oyster Reef,1996,567.0904541,0.270829512314363,-16,0,2012,0,0,101.35482620881521
Turtle A,2014,Oyster Reef,1996,948.2314453,0.3879256776788018,-18,0,2014,0,0,105.27535702049352
Turtle B,2014,Oyster Reef,1996,358.4035339,0.37802108460002476,-18,0,2014,0,0,-46.09112616373159
Turtle C,2014,Oyster Reef,1996,611.5787964,0.7428777615229288,-18,0,2014,0,0,-85.28686757853609
Turtle D,2014,Oyster Reef,1996,467.8496094,0.3554845958948135,-18,0,2014,0,0,-6.057766724400892
Turtle E,2014,Oyster Reef,1996,461.0300903,0.472834575176239,-18,0,2014,0,0,89.67621955305594
Bellville Boat Ramp Site,2008,Oyster Reef,1996,1067.656006,0.5405348365505537,-12,0,2008,0,0,169.13204154160007
Plantation Creek Site,2010,Oyster Reef,1997,440.2826233,0.2897997444326227,-13,0,2010,0,0,-104.31538340331309
Florida Passage Site,2012,Oyster Reef,1997,661.0735474,0.833466806194999,-15,0,2012,0,0,86.2032465934069
Oatland Site,2014,Oyster Reef,1997,555.2220459,0.17772098009785012,-17,0,2014,0,0,83.93555336192031
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1997,466.7285156,0.8421155095100403,-12,0,2009,0,0,-7.6152624835496
Oyster Creek Site B,2013,Oyster Reef,1997,272.3890686,0.7615998039642969,-16,0,2013,0,0,-22.120343689321942
Jointer Creek Oyster Reef A,2012,Oyster Reef,1997,245.7755127,0.7910472046245228,-15,0,2012,0,0,-81.14967599238369
Jointer Creek Oyster Reef B,2012,Oyster Reef,1997,265.8277893,0.7773355083032087,-15,0,2012,0,0,-69.32970980567973
Jointer Creek Oyster Reef C,2012,Oyster Reef,1997,302.2702942,0.912092463536696,-15,0,2012,0,0,-37.60782130312219
Jointer Creek Oyster Reef D,2012,Oyster Reef,1997,395.1279297,0.37707416171377356,-15,0,2012,0,0,-68.40898437514181
Turtle A,2014,Oyster Reef,1997,660.7831421,0.42304414917122235,-17,0,2014,0,0,-179.97423236346356
Turtle B,2014,Oyster Reef,1997,362.3726807,0.36333111876791174,-17,0,2014,0,0,-39.92326554768863
Turtle C,2014,Oyster Reef,1997,509.1484375,0.7346087992191315,-17,0,2014,0,0,-185.5185126624931
Turtle D,2014,Oyster Reef,1997,399.4963379,0.35035478737619186,-17,0,2014,0,0,-72.21232440835792
Turtle E,2014,Oyster Reef,1997,325.7735291,0.5042161732912064,-17,0,2014,0,0,-43.38162783090104
Bellville Boat Ramp Site,2008,Oyster Reef,1997,788.6022949,0.5463420033454895,-11,0,2008,0,0,-107.72295574235693
Plantation Creek Site,2010,Oyster Reef,1998,480.384491,0.33956123019258183,-12,0,2010,0,0,-62.014801887269186
Florida Passage Site,2012,Oyster Reef,1998,522.4761963,0.8184611688960682,-14,0,2012,0,0,-50.19539069054929
Oatland Site,2014,Oyster Reef,1998,462.9474792,0.266869149424813,-16,0,2014,0,0,-6.140299522035832
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1998,408.9023132,0.7790500471989313,-11,0,2009,0,0,-63.24275106750571
Oyster Creek Site B,2013,Oyster Reef,1998,239.4647675,0.7789414167404175,-15,0,2013,0,0,-52.84593097327803
Jointer Creek Oyster Reef A,2012,Oyster Reef,1998,299.4849548,0.7761042768304999,-14,0,2012,0,0,-25.241520076339782
Jointer Creek Oyster Reef B,2012,Oyster Reef,1998,292.0629578,0.7769828059456565,-14,0,2012,0,0,-40.89582748963585
Jointer Creek Oyster Reef C,2012,Oyster Reef,1998,320.2076721,0.8996839577501471,-14,0,2012,0,0,-17.4717295870783
Jointer Creek Oyster Reef D,2012,Oyster Reef,1998,425.312561,0.30589543034633,-14,0,2012,0,0,-36.025639259097886
Turtle A,2014,Oyster Reef,1998,720.5234985,0.43961405754089355,-16,0,2014,0,0,-118.03516214741967
Turtle B,2014,Oyster Reef,1998,341.6717224,0.4204404469993379,-16,0,2014,0,0,-58.425510031644706
Turtle C,2014,Oyster Reef,1998,590.6845703,0.7555628657341004,-16,0,2014,0,0,-101.78366604644918
Turtle D,2014,Oyster Reef,1998,441.5831604,0.40020222663879396,-16,0,2014,0,0,-27.92678809231404
Turtle E,2014,Oyster Reef,1998,326.3857422,0.5169599300081079,-16,0,2014,0,0,-40.570700914857184
Bellville Boat Ramp Site,2008,Oyster Reef,1998,788.4588013,0.5723492264747619,-10,0,2008,0,0,-105.66773552631298
Plantation Creek Site,2010,Oyster Reef,1999,438.8674622,0.3265991881489753,-11,0,2010,0,0,-101.33311687122625
Florida Passage Site,2012,Oyster Reef,1999,508.8463745,0.8532440228895708,-13,0,2012,0,0,-61.62649867450625
Oatland Site,2014,Oyster Reef,1999,392.8549194,0.24314082103470958,-15,0,2014,0,0,-74.0341455059928
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1999,395.5336609,0.8488398492336273,-10,0,2009,0,0,-74.41268955146273
Oyster Creek Site B,2013,Oyster Reef,1999,212.1169434,0.764275312423706,-14,0,2013,0,0,-77.99504125723504
